Abejorral,65
Abrego,742
Acacias,6527
Acandi,111
Acevedo,318
Achi,218
Achutupu,9
Acre,6142
Acuatupu,11
Agrado,811
Agua De Dios,2732
Aguachica,5787
Aguadas,35
Aguazul,3929
Agustin Codazzi,169
Ahuachapan,2421
Ailigandi,3
Aipe,4643
Alabama,29
Alachua County,29
Alagoas,24634
Alban,3
Albania,1181
Alcala,662
Algarrobo,811
Algeciras,1341
Almaguer,11
Alpujarra,346
Alta Verapaz,11
Altamira,1348
Alvarado,963
Amaga,72
Amapa,1144
Amazonas,14973
Ambalema,148
American Samoa,285
Anapoima,3179
Ancon,2
Andalucia,561
Andes,35
Angelopolis,19
Anolaima,143
Anserma,188
Ansermanuevo,2751
Anza,344
Anzoategui,26
Apartado,6187
Apia,13
Apulo,1219
Aquin,8
Aracataca,818
Aratoca,17
Arauca,8131
Arauquita,2153
Arbelaez,329
Arboledas,1151
Arboletes,269
Arenal,958
Argelia,198
Ariguani,83
Arizona,23
Arjona,482
Arkansas,43
Armenia,2139
Armero,22
Armero (Guayabal),158
Arroyohondo,31
Artibonite,112
Astrea,279
Ataco,512
Atrato,93
Ayapel,991
Azua,1748
Bahia,292281
Bahia Solano,29
Baja Verapaz,16
Bajo Baudo,19
Balboa,1251
Baoruco,123
Barahona,562
Baranoa,615
Baraya,475
Barbacoas,43
Barbosa,883
Barichara,183
Barranca De Upia,112
Barrancabermeja,8319
Barrancas,852
Barranco De Loba,191
Barranquilla,92682
Becerril,513
Belen,2
Belen De Los Andaquies,478
Belen De Umbria,126
Bella Vista,9
Bello,718
Belmira,41
Beltran,37
Betania,4
Beteitiva,22
Bethania,6
Betulia,51
Bituima,9
Boavita,64
Bochalema,1882
Bolivar,1231
Bosconia,477
Boyaca,19
Brazil,925732
Brevard County,16
Broward County,115
Bucaramanga,36121
Bucarasica,69
Buena Fe,24
Buenaventura,6129
Buenavista,1455
Buenos Aires,3331
Buesaco,21
Bugalagrande,329
Buritica,42
CABA,1899
Cabanas,5767
Cabrera,11
Cabuyaro,246
Caceres,861
Cachipay,585
Cachira,81
Caicedo,3
Caicedonia,582
Cajamarca,194
Cajibio,12
Calamar,193
Calarca,446
Caldas,73
Caldono,5
Cali,123757
Calidonia,2
California,553
Calima,116
Caloto,64
Campeche,17
Campo De La Cruz,321
Campoalegre,2985
Campohermoso,56
Canalete,982
Canar,5
Canasgordas,51
Candelaria,3471
Cantagallo,328
Cap Haitien,6
Caparrapi,134
Capitanejo,4113
Caqueza,74
Caracoli,21
Caramanta,113
Carazo,3
Carchi,8
Carepa,1914
Carmen De Apicala,2644
Carolina,71
Carrefour,8
Cartagena,22335
Cartagena Del Chaira,211
Cartago,16764
Carti,21
Casabianca,37
Castilla La Nueva,514
Catamarca,212
Caucasia,1812
Ceara,19416
Central,114
Centre,79
Cepita,132
Cerete,4178
Cerrito,7
Cerro San Antonio,5
Certegui,21
Chaco,1117
Chaguani,435
Chalan,115
Chalatenango,8833
Chameza,91
Chaparral,4918
Charala,83
Charta,11
Chia,134
Chiapas,2317
Chibolo,47
Chigorodo,3121
Chima,188
Chimichagua,8
Chinacota,1955
Chinandega,7
Chinchina,212
Chinu,343
Chipaque,14
Chiquimula,312
Chiquinquira,25
Chiriguana,294
Chitaga,31
Chitaraque,117
Choachi,12
Chorrillo,2
Chubut,82
Chunchi,13
Cicuco,151
Cienaga,7261
Cienaga De Oro,156
Cimitarra,397
Circasia,147
Cisneros,3
Ciudad Bolivar,139
Ciudad Sandino,3
Clay County,5
Clemencia,26
Cocorna,9
Coello,411
Colima,3
Collier County,5
Colombia,656
Colon,7
Colorado,46
Coloso,387
Concepcion,27
Concordia,183
Condoto,21
Connecticut,14
Contratacion,2
Convencion,43
Copacabana,57
Coper,12
Corazon de Jesus,5
Cordoba,1676
Corinto,95
Coromoro,6
Corozal,3119
Corrientes,285
Cota,36
Cotes de Fer,3
Cotopaxi,11
Cotorra,115
Covenas,611
Coyaima,1131
Cravo Norte,65
Cubara,116
Cubarral,117
Cucuta,135383
Cucutilla,571
Cuenca,12
Cumaral,638
Cumaribo,292
Cunday,244
Curillo,57
Curiti,77
Curumani,938
Cuscatlan,9116
Dabeiba,76
Dagua,685
Dajabon,39
Dame Marie,3
Daule,12
Delaware,51
Delmas,13
Desconocido,2154
Dibulla,631
Distraccion,322
District of Columbia,68
Distrito Federal,3111
Distrito I,2
Distrito II,3
Distrito IV,3
Distrito Nacional,11114
Dolores,1992
Dominican Republic,49674
Dosquebradas,2629
Duarte,413
Duitama,23
Durania,1287
Ebejico,74
Ecuador,7276
El Aguila,159
El Bagre,88
El Banco,1141
El Cairo,192
El Carmen,281
El Carmen De Bolivar,425
El Carmen De Chucuri,39
El Carmen De Viboral,35
El Castillo,117
El Cerrito,5171
El Charco,63
El Coco,2
El Colegio,11183
El Copey,727
El Doncello,1231
El Dorado,391
El Dovio,11
El Guamo,42
El Molino,136
El Oro,121
El Paso,162
El Paujil,971
El Penon,953
El Pinon,1146
El Playon,1214
El Progreso,31
El Quiche,26
El Reten,326
El Retorno,314
El Roble,163
El Rosario,4
El Salvador,233144
El Seibo,58
El Tambo,5
El Tarra,622
El Zulia,5159
Elias,266
Elias Pina,49
Ennery,7
Entre Rios,576
Entrerrios,11
Envigado,225
Escuintla,179
Esmeraldas,821
Espaillat,412
Espinal,8578
Espirito Santo,16464
Facatativa,81
Falan,484
Filadelfia,34
Filandia,39
Flandes,5542
Florencia,11984
Florida,2362
Floridablanca,15867
Fond Des Negres,7
Fonseca,858
Formosa,118
Fortul,1262
Francisco Pizarro,21
Fredonia,41
Fresno,249
Frontino,4
Fuente De Oro,335
Fundacion,2141
Funza,2
Fusagasuga,2441
Gachala,23
Gacheta,7
Galan,178
Galapa,1158
Galapagos,27
Galeras,71
Gamarra,114
Gambita,8
Garagoa,18
Garzon,13791
General Antonio Elizalde,6
General Antonio Elizalde,6
Georgia,223
Gigante,6711
Ginebra,951
Giraldo,2
Girardot,41591
Girardota,41
Giron,9144
Goias,21917
Gomez Plata,2
Gonaives,3
Gonzalez,35
Gramalote,447
Granada,3676
Grande Anse,12
Gothenburg,27
Guaca,46
Guacari,629
Guacheta,16
Guadalajara De Buga,21136
Guadalupe,4636
Guaduas,1218
Guaitarilla,5
Guamal,1367
Guamo,1744
Guapi,24
Guaranda,54
Guarne,34
Guatape,81
Guataqui,72
Guatemala,4978
Guateque,9
Guavata,21
Guayabal De Siquima,177
Guayabetal,49
Guayaquil,221
Guayas,122
Guerrero,484
Hacari,152
Haiti,329
Hato Corozal,113
Hato Mayor,372
Hatonuevo,247
Hawaii,119
Heliconia,14
Hermanas Mirabal,126
Herran,33
