report_date,location,value
3/19/16,Argentina-Buenos_Aires,0
3/19/16,Argentina-Buenos_Aires,0
3/19/16,Argentina-Buenos_Aires,2
3/19/16,Argentina-Buenos_Aires,1
3/19/16,Argentina-Buenos_Aires,127
3/19/16,Argentina-Buenos_Aires,0
3/19/16,Argentina-CABA,0
3/19/16,Argentina-CABA,0
3/19/16,Argentina-CABA,9
3/19/16,Argentina-CABA,0
3/19/16,Argentina-CABA,68
3/19/16,Argentina-CABA,1
3/19/16,Argentina-Catamarca,0
3/19/16,Argentina-Catamarca,0
3/19/16,Argentina-Catamarca,0
3/19/16,Argentina-Catamarca,0
3/19/16,Argentina-Catamarca,14
3/19/16,Argentina-Catamarca,0
3/19/16,Argentina-Chaco,0
3/19/16,Argentina-Chaco,0
3/19/16,Argentina-Chaco,0
3/19/16,Argentina-Chaco,0
3/19/16,Argentina-Chaco,48
3/19/16,Argentina-Chaco,0
3/19/16,Argentina-Chubut,0
3/19/16,Argentina-Chubut,0
3/19/16,Argentina-Chubut,1
3/19/16,Argentina-Chubut,0
3/19/16,Argentina-Chubut,5
3/19/16,Argentina-Chubut,0
3/19/16,Argentina-Cordoba,1
3/19/16,Argentina-Cordoba,0
3/19/16,Argentina-Cordoba,1
3/19/16,Argentina-Cordoba,1
3/19/16,Argentina-Cordoba,22
3/19/16,Argentina-Cordoba,0
3/19/16,Argentina-Corrientes,0
3/19/16,Argentina-Corrientes,0
3/19/16,Argentina-Corrientes,2
3/19/16,Argentina-Corrientes,0
3/19/16,Argentina-Corrientes,18
3/19/16,Argentina-Corrientes,0
3/19/16,Argentina-Entre_Rios,0
3/19/16,Argentina-Entre_Rios,0
3/19/16,Argentina-Entre_Rios,0
3/19/16,Argentina-Entre_Rios,0
3/19/16,Argentina-Entre_Rios,28
3/19/16,Argentina-Entre_Rios,0
3/19/16,Argentina-Formosa,0
3/19/16,Argentina-Formosa,0
3/19/16,Argentina-Formosa,0
3/19/16,Argentina-Formosa,0
3/19/16,Argentina-Formosa,8
3/19/16,Argentina-Formosa,0
3/19/16,Argentina-Jujuy,0
3/19/16,Argentina-Jujuy,0
3/19/16,Argentina-Jujuy,0
3/19/16,Argentina-Jujuy,0
3/19/16,Argentina-Jujuy,245
3/19/16,Argentina-Jujuy,0
3/19/16,Argentina-La_Pampa,0
3/19/16,Argentina-La_Pampa,0
3/19/16,Argentina-La_Pampa,0
3/19/16,Argentina-La_Pampa,0
3/19/16,Argentina-La_Pampa,2
3/19/16,Argentina-La_Pampa,0
3/19/16,Argentina-La_Rioja,0
3/19/16,Argentina-La_Rioja,0
3/19/16,Argentina-La_Rioja,0
3/19/16,Argentina-La_Rioja,0
3/19/16,Argentina-La_Rioja,3
3/19/16,Argentina-La_Rioja,0
3/19/16,Argentina-Mendoza,0
3/19/16,Argentina-Mendoza,0
3/19/16,Argentina-Mendoza,1
3/19/16,Argentina-Mendoza,0
3/19/16,Argentina-Mendoza,12
3/19/16,Argentina-Mendoza,0
3/19/16,Argentina-Misiones,0
3/19/16,Argentina-Misiones,0
3/19/16,Argentina-Misiones,0
3/19/16,Argentina-Misiones,0
3/19/16,Argentina-Misiones,6
3/19/16,Argentina-Misiones,0
3/19/16,Argentina-Neuquen,0
3/19/16,Argentina-Neuquen,0
3/19/16,Argentina-Neuquen,0
3/19/16,Argentina-Neuquen,0
3/19/16,Argentina-Neuquen,16
3/19/16,Argentina-Neuquen,0
3/19/16,Argentina-Rio_Negro,0
3/19/16,Argentina-Rio_Negro,0
3/19/16,Argentina-Rio_Negro,0
3/19/16,Argentina-Rio_Negro,0
3/19/16,Argentina-Rio_Negro,5
3/19/16,Argentina-Rio_Negro,0
3/19/16,Argentina-Salta,0
3/19/16,Argentina-Salta,0
3/19/16,Argentina-Salta,0
3/19/16,Argentina-Salta,0
3/19/16,Argentina-Salta,61
3/19/16,Argentina-Salta,1
3/19/16,Argentina-San_Juan,0
3/19/16,Argentina-San_Juan,0
3/19/16,Argentina-San_Juan,0
3/19/16,Argentina-San_Juan,0
3/19/16,Argentina-San_Juan,0
3/19/16,Argentina-San_Juan,0
3/19/16,Argentina-San_Luis,0
3/19/16,Argentina-San_Luis,0
3/19/16,Argentina-San_Luis,0
3/19/16,Argentina-San_Luis,0
3/19/16,Argentina-San_Luis,9
3/19/16,Argentina-San_Luis,0
3/19/16,Argentina-Santa_Cruz,0
3/19/16,Argentina-Santa_Cruz,0
3/19/16,Argentina-Santa_Cruz,0
3/19/16,Argentina-Santa_Cruz,0
3/19/16,Argentina-Santa_Cruz,7
3/19/16,Argentina-Santa_Cruz,0
3/19/16,Argentina-Santa_Fe,0
3/19/16,Argentina-Santa_Fe,0
3/19/16,Argentina-Santa_Fe,0
3/19/16,Argentina-Santa_Fe,0
3/19/16,Argentina-Santa_Fe,15
3/19/16,Argentina-Santa_Fe,0
3/19/16,Argentina-Sgo_Del_Estero,0
3/19/16,Argentina-Sgo_Del_Estero,0
3/19/16,Argentina-Sgo_Del_Estero,0
3/19/16,Argentina-Sgo_Del_Estero,0
3/19/16,Argentina-Sgo_Del_Estero,4
3/19/16,Argentina-Sgo_Del_Estero,0
3/19/16,Argentina-Tierra_del_Fuego,0
3/19/16,Argentina-Tierra_del_Fuego,0
3/19/16,Argentina-Tierra_del_Fuego,0
3/19/16,Argentina-Tierra_del_Fuego,0
3/19/16,Argentina-Tierra_del_Fuego,0
3/19/16,Argentina-Tierra_del_Fuego,0
3/19/16,Argentina-Tucuman,0
3/19/16,Argentina-Tucuman,0
3/19/16,Argentina-Tucuman,0
3/19/16,Argentina-Tucuman,0
3/19/16,Argentina-Tucuman,36
3/19/16,Argentina-Tucuman,0
3/26/16,Argentina-Buenos_Aires,0
3/26/16,Argentina-Buenos_Aires,0
3/26/16,Argentina-Buenos_Aires,2
3/26/16,Argentina-Buenos_Aires,1
3/26/16,Argentina-Buenos_Aires,145
3/26/16,Argentina-Buenos_Aires,0
3/26/16,Argentina-CABA,0
3/26/16,Argentina-CABA,0
3/26/16,Argentina-CABA,9
3/26/16,Argentina-CABA,0
3/26/16,Argentina-CABA,81
3/26/16,Argentina-CABA,2
3/26/16,Argentina-Catamarca,0
3/26/16,Argentina-Catamarca,0
3/26/16,Argentina-Catamarca,0
3/26/16,Argentina-Catamarca,0
3/26/16,Argentina-Catamarca,15
3/26/16,Argentina-Catamarca,0
3/26/16,Argentina-Chaco,0
3/26/16,Argentina-Chaco,0
3/26/16,Argentina-Chaco,0
3/26/16,Argentina-Chaco,0
3/26/16,Argentina-Chaco,52
3/26/16,Argentina-Chaco,0
3/26/16,Argentina-Chubut,0
3/26/16,Argentina-Chubut,0
3/26/16,Argentina-Chubut,1
3/26/16,Argentina-Chubut,0
3/26/16,Argentina-Chubut,5
3/26/16,Argentina-Chubut,0
3/26/16,Argentina-Cordoba,1
3/26/16,Argentina-Cordoba,0
3/26/16,Argentina-Cordoba,2
3/26/16,Argentina-Cordoba,0
3/26/16,Argentina-Cordoba,22
3/26/16,Argentina-Cordoba,0
3/26/16,Argentina-Corrientes,0
3/26/16,Argentina-Corrientes,0
3/26/16,Argentina-Corrientes,2
3/26/16,Argentina-Corrientes,0
3/26/16,Argentina-Corrientes,18
3/26/16,Argentina-Corrientes,0
3/26/16,Argentina-Entre_Rios,0
3/26/16,Argentina-Entre_Rios,0
3/26/16,Argentina-Entre_Rios,0
3/26/16,Argentina-Entre_Rios,0
3/26/16,Argentina-Entre_Rios,29
3/26/16,Argentina-Entre_Rios,0
3/26/16,Argentina-Formosa,0
3/26/16,Argentina-Formosa,0
3/26/16,Argentina-Formosa,0
3/26/16,Argentina-Formosa,0
3/26/16,Argentina-Formosa,8
3/26/16,Argentina-Formosa,0
3/26/16,Argentina-Jujuy,0
3/26/16,Argentina-Jujuy,0
3/26/16,Argentina-Jujuy,0
3/26/16,Argentina-Jujuy,0
3/26/16,Argentina-Jujuy,303
3/26/16,Argentina-Jujuy,0
3/26/16,Argentina-La_Pampa,0
3/26/16,Argentina-La_Pampa,0
3/26/16,Argentina-La_Pampa,0
3/26/16,Argentina-La_Pampa,0
3/26/16,Argentina-La_Pampa,2
3/26/16,Argentina-La_Pampa,0
3/26/16,Argentina-La_Rioja,0
3/26/16,Argentina-La_Rioja,0
3/26/16,Argentina-La_Rioja,0
3/26/16,Argentina-La_Rioja,0
3/26/16,Argentina-La_Rioja,3
3/26/16,Argentina-La_Rioja,0
3/26/16,Argentina-Mendoza,0
3/26/16,Argentina-Mendoza,0
3/26/16,Argentina-Mendoza,1
3/26/16,Argentina-Mendoza,0
3/26/16,Argentina-Mendoza,12
3/26/16,Argentina-Mendoza,0
3/26/16,Argentina-Misiones,0
3/26/16,Argentina-Misiones,0
3/26/16,Argentina-Misiones,0
3/26/16,Argentina-Misiones,0
3/26/16,Argentina-Misiones,6
3/26/16,Argentina-Misiones,0
3/26/16,Argentina-Neuquen,0
3/26/16,Argentina-Neuquen,0
3/26/16,Argentina-Neuquen,0
3/26/16,Argentina-Neuquen,0
3/26/16,Argentina-Neuquen,16
3/26/16,Argentina-Neuquen,0
3/26/16,Argentina-Rio_Negro,0
3/26/16,Argentina-Rio_Negro,0
3/26/16,Argentina-Rio_Negro,0
3/26/16,Argentina-Rio_Negro,0
3/26/16,Argentina-Rio_Negro,5
3/26/16,Argentina-Rio_Negro,0
3/26/16,Argentina-Salta,0
3/26/16,Argentina-Salta,0
3/26/16,Argentina-Salta,0
3/26/16,Argentina-Salta,0
3/26/16,Argentina-Salta,63
3/26/16,Argentina-Salta,2
3/26/16,Argentina-San_Juan,0
3/26/16,Argentina-San_Juan,0
3/26/16,Argentina-San_Juan,0
3/26/16,Argentina-San_Juan,0
3/26/16,Argentina-San_Juan,0
3/26/16,Argentina-San_Juan,0
3/26/16,Argentina-San_Luis,0
3/26/16,Argentina-San_Luis,0
3/26/16,Argentina-San_Luis,0
3/26/16,Argentina-San_Luis,0
3/26/16,Argentina-San_Luis,9
3/26/16,Argentina-San_Luis,0
3/26/16,Argentina-Santa_Cruz,0
3/26/16,Argentina-Santa_Cruz,0
3/26/16,Argentina-Santa_Cruz,0
3/26/16,Argentina-Santa_Cruz,0
3/26/16,Argentina-Santa_Cruz,9
3/26/16,Argentina-Santa_Cruz,0
